Date,DepartmentId,JobCategoryId,RequiredWorkedHoursValue,ActualWorkedHoursValue
2026-07-01,58,5,98.38,83.00
2027-07-16,40,1,159.46,133.50
2026-03-26,54,5,61.70,56.00
2027-03-06,42,5,122.04,108.00
2026-08-22,57,7,52.59,43.25
2027-01-06,60,5,43.13,37.75
2026-05-17,53,7,52.56,52.25
2027-04-27,51,1,216.63,216.25
2027-04-06,59,5,95.14,82.75
2026-08-15,37,7,34.27,33.50
2027-05-15,51,1,214.86,206.50
2027-08-17,50,1,148.71,154.00
2027-06-28,38,1,125.28,128.75
2027-06-10,53,5,68.66,82.50
2026-03-20,59,1,245.79,209.25
2026-02-10,38,4,10.06,10.25
2027-02-08,40,1,109.69,90.75
2026-12-30,38,5,62.54,54.75
2026-10-29,36,5,136.28,145.50
2026-12-24,60,1,206.92,179.75
2027-06-06,61,2,67.21,84.50
2027-06-28,37,3,43.92,37.25
2027-02-08,35,2,76.88,64.50
2026-05-17,59,4,12.41,15.25
2026-01-11,61,4,17.67,14.75
2027-08-26,36,3,98.66,109.00
2026-02-11,37,1,163.21,161.75
2027-06-15,53,1,107.46,135.50
2026-01-07,37,1,176.58,224.00
2026-11-23,58,1,203.91,176.75
2026-09-22,59,7,29.54,27.00
2026-05-17,48,1,237.76,202.25
2027-02-24,47,1,248.52,231.25
2026-03-13,39,1,198.10,173.75
2026-06-14,45,1,118.54,99.50
2027-01-03,53,5,89.17,101.00
2026-03-13,44,7,15.61,14.75
2026-01-11,55,7,61.46,56.25
2027-03-11,42,1,143.35,145.25
2026-07-02,45,1,207.97,226.50
2026-01-24,52,5,65.99,73.50
2026-07-18,42,7,56.95,47.00
2026-04-04,41,5,42.25,37.75
2027-04-06,44,5,138.48,130.25
2027-07-29,41,3,102.50,114.25
2026-03-10,54,0,200.38,167.50
2027-06-16,130,3,86.93,75.25
2027-05-25,41,6,89.64,77.00
2027-02-21,35,6,50.77,54.50
2026-03-31,49,2,98.07,123.00
2027-08-17,43,6,66.61,73.25
2026-06-14,44,3,106.81,116.75
2026-01-07,42,0,233.52,228.25
2027-04-29,39,2,31.79,27.75
2026-05-10,39,4,30.68,31.50
2026-09-09,47,2,74.29,91.75
2027-01-24,40,6,70.13,74.25
2027-01-20,43,4,28.94,34.75
2026-09-28,49,5,123.14,104.75
2026-07-19,60,1,221.63,259.50
2026-03-09,39,1,203.25,258.75
2027-07-01,50,7,63.61,53.00
2026-12-03,53,5,101.33,97.50
2027-05-25,46,5,92.16,102.00
2026-09-09,52,1,110.05,134.50
2027-01-04,40,1,179.59,228.75
2026-11-16,38,1,168.87,157.00
2027-03-14,47,1,85.78,107.75
2027-01-24,50,7,30.46,29.50
2026-12-06,58,5,92.95,90.50
2026-06-27,45,5,98.32,116.25
2026-01-21,45,5,38.37,40.50
2026-05-05,56,1,185.61,211.75
2026-11-23,51,6,112.94,124.25
2027-03-24,42,5,66.38,71.25
2026-11-03,36,1,84.06,94.00
2026-01-02,58,2,64.33,56.75
2027-04-23,47,4,22.21,24.75
2027-08-30,45,6,68.87,58.25
2027-01-21,54,3,85.78,75.25
2026-03-14,57,6,158.33,136.25
2027-03-28,58,3,86.97,87.75
2026-04-13,40,3,108.63,101.25
2027-04-27,35,3,77.32,73.00
2026-01-15,58,6,74.53,75.00
2026-11-06,36,2,77.15,85.50
2026-11-20,46,6,72.43,82.25
2026-04-13,52,4,29.87,29.50
2026-03-07,52,2,94.95,90.75
2027-05-29,56,6,77.06,79.50
2026-02-01,35,2,96.26,107.00
2026-01-06,50,5,134.58,117.75
2027-05-10,51,5,36.92,40.75
2026-01-11,50,1,162.22,150.00
2027-09-15,57,5,64.71,58.00
2026-04-08,56,5,110.97,111.75
2026-11-19,48,7,58.97,53.00
2027-03-28,57,5,92.92,83.50
2026-11-29,38,5,82.79,79.50
2026-05-14,43,1,169.87,143.50
2026-07-25,40,5,101.16,129.75
2027-09-02,55,5,134.74,117.00
2026-07-01,60,5,99.18,89.50
2027-03-09,47,5,132.81,143.75
2027-05-24,37,3,46.14,40.50
2027-08-13,35,1,139.74,129.00
2026-11-19,54,4,30.29,34.50
2027-09-07,50,2,88.87,81.25
2026-05-11,46,6,148.97,129.25
2027-03-18,57,2,53.49,51.25
2027-07-29,51,4,16.44,14.00
2026-11-15,39,4,20.89,20.25
2026-12-24,59,3,95.23,108.00
2027-08-26,35,5,70.54,68.50
2026-01-02,35,5,102.13,90.50
2026-08-06,130,1,89.94,96.75
2027-08-30,50,5,41.92,43.00
2027-03-15,57,1,220.64,184.00
2026-08-22,52,1,137.27,165.75
2026-02-24,52,5,51.42,55.75
2026-02-11,52,1,144.36,172.50
2026-08-01,60,5,76.67,76.75
2026-04-13,41,1,157.68,197.25
2027-08-20,55,1,246.40,228.25
2026-12-11,58,1,241.50,208.75
2026-08-18,37,1,231.22,218.25
2027-07-16,45,7,17.85,15.25
2026-03-17,59,7,47.66,42.75
2026-07-19,53,6,118.13,125.00
2027-06-29,56,6,41.71,43.75
2027-03-24,43,3,57.53,61.00
2027-08-01,35,7,45.56,46.25
2026-08-19,52,7,50.84,41.75
2026-12-20,35,7,40.65,49.00
2026-10-19,37,4,25.93,22.00
2026-09-06,42,2,51.89,45.75
2026-01-20,44,0,302.37,367.00
2026-03-22,40,3,43.65,53.50
2027-07-20,48,2,57.07,50.00
2027-04-18,54,7,16.26,15.00
2026-07-01,53,6,70.06,64.75
2027-03-31,57,6,117.24,103.50
2027-08-02,48,6,153.67,159.25
2027-06-29,58,6,51.64,59.50
2026-07-19,59,3,93.49,118.50
2027-04-27,50,3,47.52,39.75
2026-01-28,60,6,32.38,28.50
2027-02-21,41,3,114.39,94.00
2026-10-20,59,6,89.74,74.75
2026-09-19,60,4,37.21,38.25
2026-08-24,40,2,56.93,50.00
2026-06-08,58,2,38.60,31.75
2027-07-12,36,4,26.27,33.00
2026-03-26,49,6,157.74,194.00
2026-02-11,42,7,45.45,43.00
2027-08-17,55,7,24.58,21.25
2027-08-13,40,7,20.63,21.75
2026-07-06,53,2,27.06,25.00
2026-03-26,39,5,106.48,91.50
2027-04-14,39,7,37.04,39.75
2027-05-28,53,1,228.15,240.75
2027-06-24,36,4,23.18,24.00
2026-08-18,48,4,33.30,34.00
2027-06-28,49,4,39.54,34.25
2026-12-11,53,2,32.45,36.50
2027-09-02,56,3,82.11,81.75
2027-03-24,37,6,42.56,39.00
